A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
0.0,-3.970048523,-2.512336381,5.346329613,-1.012008712,1.844900361,0.329839797,-0.491590483,good
1.0,-1.195217191,-2.839256528,3.664058758,1.588232309,0.853285795,0.867530082,-0.722809367,good
2.0,-0.292023862,-1.351281995,-1.738429162,-0.342615928,2.838635512,-0.038033328,2.621636473,bad
4.0,1.36421682,-1.296611877,-0.384658206,-0.55300577,3.030874354,-1.303849429,0.501984036,good
7.0,-1.995462096,-0.42895848,1.530643583,-0.742971676,0.158834003,0.974437858,-1.470125066,good
8.0,-3.867632233,-3.734513576,0.986429067,-1.20765455,2.292872919,4.080920787,-4.871904758,bad
9.0,-0.727982709,-0.442820353,-4.092222827,0.597512917,0.393714261,1.620856772,2.185607723,bad
10.0,-2.69933629,-1.329506988,-1.418506853,-0.625545768,2.371074371,3.403164523,-2.810808169,bad
11.0,2.450959845,-0.564177407,-1.635040727,0.942399869,-2.08731667,1.214321691,1.294323927,good
12.0,-0.170811719,-1.867271142,-1.771844728,2.413155317,-3.094554738,-0.624884375,-2.076113997,bad
13.0,-1.345530536,-1.623701121,2.044143754,1.754812932,0.997567093,0.434179855,1.724026084,good
14.0,2.839580937,-0.344798192,-1.019797291,0.894580857,-1.300060883,0.58237862,1.709708209,good
15.0,-2.659887385,-2.795684208,4.230403587,0.697550395,2.180911101,-0.088775396,-1.083620788,good
16.0,-1.468951547,-1.950359588,-2.214372889,0.909758509,2.864448854,3.965955655,-0.558208683,bad
17.0,-0.074370177,-4.714749953,0.249767641,2.935319065,1.4097551,-2.643810206,1.250970347,good
18.0,-0.302364267,1.724395847,-2.442337223,3.465108479,0.449791675,-0.074362452,2.493781985,bad
19.0,-2.108049899,0.356467403,-1.156193279,4.326722517,1.561543116,-4.630174264,-1.37665721,good
20.0,-2.334589505,-2.943708903,-3.452627724,0.76239173,4.076462369,6.346445353,0.726775672,bad
21.0,1.177592782,-0.721654493,-1.387116215,7.619851801,1.069288382,-3.734805414,2.642948241,good
22.0,-2.423946222,-0.698500653,0.146030407,0.630106169,2.990560508,0.779472898,3.184188187,bad
23.0,0.135714199,-0.753756857,-2.196146456,1.039276088,0.580537553,0.227308777,2.086618541,bad
24.0,0.522960759,-1.428085244,-0.743518743,1.786716194,-4.207543546,-1.825231216,-1.430429857,bad
3000.0,-0.791740594,-0.125726611,-0.683672766,1.126810088,1.499428958,1.258607093,-0.318278176,bad
3001.0,-0.216490187,-2.312652825,1.232708765,-1.108093409,3.147309857,-2.334935254,2.168927943,good
3002.0,-1.123378014,-1.396914664,2.178744859,1.07739845,2.100608805,0.293826351,-0.600271979,good
3003.0,-0.692216552,-1.029835088,-2.47627873,1.525174989,0.123992752,4.055425166,-1.968351619,bad
3004.0,-1.135602157,-0.873765875,1.304670239,0.872166111,1.667877042,-3.529170331,0.675817641,good
3005.0,-4.2720132,0.021266115,2.420558289,1.756026488,-1.22186724,-0.395617762,2.020624473,bad
3006.0,2.338462472,-0.579644624,-2.402320038,-1.038325053,0.388442808,1.491940165,0.436921461,good
3007.0,-4.11818047,-0.231651036,2.236190904,1.49520591,1.875913134,0.036226784,3.725119774,bad
3008.0,0.655191069,1.327015645,-3.363186041,2.936746879,-0.248973535,-0.520331611,0.999308201,bad
3009.0,-0.826259257,-2.398700188,-2.721265081,0.921567449,-5.498666693,1.652619334,-2.085341847,bad
3010.0,-0.198773459,-1.249758065,1.778493902,1.302544514,-5.314308017,-1.554592705,0.809907288,bad
3011.0,-2.528144905,1.239934076,-1.492238729,3.021035176,-4.155099508,-1.710012237,0.307219577,good
3012.0,-2.34896203,-1.494003637,-0.145984118,-0.083063385,-1.701186597,3.296392015,-0.104389292,bad
3013.0,-2.998222281,2.071302179,0.851703736,-2.410528889,0.305870762,0.472079079,-5.9179002,good
3014.0,-2.628374277,-0.115458273,0.198702216,-0.069106551,-1.117299703,2.095307617,0.630104364,bad
3015.0,-1.467316129,-0.342541989,-1.922702604,3.071344785,-2.648252979,-0.118562775,0.2467183,bad
3016.0,0.221316479,-3.066721545,1.522590337,2.958682314,-3.801872235,-1.309668639,-0.710313296,bad
3017.0,3.863438183,-3.661559233,-0.173749682,-0.587124765,6.497705773,-0.803019407,3.129403535,good
3018.0,1.006936285,0.067631425,0.477400834,0.574208734,0.270917736,-1.275528962,2.649874004,good
3019.0,-0.452302749,-0.367927898,-1.51753758,1.842541016,1.201533012,0.492244552,-0.844719722,bad
3020.0,-2.323340528,-2.585398763,1.307611767,1.118135737,1.429309401,-0.19873985,-3.861990488,bad
3021.0,-2.982489104,-1.151936282,1.184344372,2.902769805,-1.534326133,2.212735831,-1.022736521,bad
3022.0,-2.860756552,-2.706891782,1.453226315,1.492803591,-0.424133646,0.088431591,-2.995325003,bad
3023.0,-2.797459587,0.82061823,-0.54792495,-0.860801945,0.2196575,1.289710606,-1.333122234,good
3024.0,-1.366082011,-2.41554376,2.05785114,0.53538715,4.1389524,-4.799113742,0.75567379,good
3025.0,-1.529416771,-3.397829288,-0.380416768,0.513618822,-0.338819408,0.929264113,-4.798989984,bad
3026.0,0.611621934,-1.654902166,1.465394027,-0.490341336,-1.17929256,3.194306565,0.062116068,good
3027.0,-1.987301062,-0.512448969,2.029870689,-0.899803671,1.134416635,1.278729779,-2.327119827,good
3028.0,-0.633169967,-3.729780449,-2.160076833,-0.588697952,3.47628019,2.681429693,2.786759187,bad
3029.0,1.784926645,-0.739968069,-2.006613381,-0.180891852,3.004408943,0.025625051,2.520905121,good
3030.0,0.357199154,0.320550661,-3.239856209,2.291319097,-0.59516959,2.632138463,-2.230315931,bad
3031.0,0.362113379,-3.047153964,3.878195734,1.898910772,0.691746992,1.774689806,3.096682929,good
3032.0,-1.222028439,-2.215775581,3.23167937,-0.938840824,-0.458308572,2.307911988,1.176424009,good
3033.0,-1.231758106,1.36314074,-5.746674479,2.787436843,-0.703580047,1.627143084,0.105003839,bad
3034.0,-1.14932882,-0.268538917,-0.306435319,1.210006374,-0.527831516,-0.405037647,-0.782556409,bad
3035.0,3.130466635,-4.4162802,-1.41951158,1.298073435,1.544766829,0.415519295,1.328699376,good
3036.0,-0.646916429,0.989771566,-0.822794468,1.216294307,1.122181649,1.013008429,1.649339187,bad
3037.0,-1.377766738,-1.930203902,1.073826092,0.660535429,1.224800229,0.833628232,-1.998524116,bad
3038.0,2.017375693,1.631631987,-4.048329828,0.403906692,-1.546145898,1.955092479,-0.559362496,good
3039.0,-0.188985311,2.975707192,-0.215147855,0.171247176,-0.372198595,-1.431905623,2.766830845,good
3040.0,1.51469881,-2.027391605,-0.644007736,-1.693203149,3.728025838,-0.559023779,1.176172575,good
3041.0,-1.188255193,-1.739851766,-3.252038601,0.774998566,2.02967327,2.58172908,2.481557725,bad
3042.0,-2.779157167,-0.924554392,1.552992702,1.599857611,2.401767985,-1.122478919,-2.777152433,good
3043.0,-1.549754142,1.292916579,-0.824470337,1.550896325,1.417404687,-0.325310279,-2.569348843,good
3044.0,-1.747493393,-2.094969856,0.096959187,1.958788601,-1.961039667,1.287023435,-0.487158383,bad
3045.0,0.923390881,-0.887100649,-1.802853232,1.918978558,-0.357687583,0.555588822,-0.37351141,bad
3046.0,-3.920387036,0.09828225,2.720421954,1.701633639,-0.071040213,-0.96264805,3.259328603,bad
3047.0,-3.805181879,-0.354975857,0.349562787,1.480759079,2.4618119,1.985672316,2.078826028,bad
3048.0,-1.990881421,2.124921759,-0.939538981,1.690197702,2.100516526,-0.377753702,-1.888768607,good
3049.0,2.329371607,-2.338652131,-0.495711205,-1.401172164,3.025817286,0.258610491,1.945986711,good
3050.0,0.520275469,-1.824736407,-1.002358351,-0.815311185,-0.104198396,0.148183976,0.125661579,good
3051.0,1.077181951,0.462732953,-1.798955292,2.054467899,-0.548000715,-0.059185166,-2.032169189,bad
3052.0,2.143414632,-2.096964281,0.930632039,4.303733543,0.057817912,1.177471507,2.523858095,good
3053.0,2.097690737,0.960396079,-3.30276992,1.668748824,-1.046302685,-1.177782965,0.475477722,bad
3054.0,-4.013413331,-0.697308981,3.823556122,-1.151878024,0.605068899,0.457891892,-0.896947428,good
3055.0,-0.660428075,-2.391390997,-1.426340004,1.477891955,-1.197527435,4.115822264,-2.14777319,bad
3056.0,-0.146451471,-0.354807223,-0.153954553,0.593859709,1.316648405,1.03753562,-1.795486331,good
3057.0,1.520446887,-4.844158767,1.379117119,0.742378935,-1.694521649,-0.529413866,-4.654523919,bad
3058.0,0.672426193,-0.932017213,-0.316983822,-0.679560093,2.031719257,-0.833748092,1.787328054,good
3059.0,0.224286836,0.30939625,-0.272196909,1.335201357,-2.086991224,-0.682313747,1.241980192,bad
3060.0,-1.426676558,-0.631041279,-1.968492176,0.935983051,0.191725353,3.348655058,0.256349114,bad
3061.0,-0.828269298,-0.934683129,1.727538999,1.04027539,1.970687196,0.529514361,0.062215535,good
3062.0,-1.135749883,0.008586787,0.948512144,1.553569366,2.116582715,-0.272923438,0.512910617,bad
3063.0,-0.814907191,-1.067851803,0.475236672,0.24621865,-1.103105513,-0.042136628,-1.223954372,bad
3064.0,-2.50739464,-2.501562034,2.929628394,0.192478451,2.212366121,-0.217932148,-4.037148536,good
3065.0,2.822068821,1.060057133,-2.304707995,1.450493309,0.833521422,-0.490623106,-1.964758344,bad
